"","match_number","red1","red2","red3","blue1","blue2","blue3","taxi_R1","taxi_R2","taxi_R3","carrot_oven_red","carrot_L1_red","carrot_L2_red","carrot_L3_red","cake_oven_red","cake_L1_red","cake_L2_red","cake_L3_red","park_R1","park_R2","park_R3","carrot_haul_R1","carrot_haul_R2","carrot_haul_R3","cake_haul_R1","cake_haul_R2","cake_haul_R3","minor_red","major_red","taxi_B1","taxi_B2","taxi_B3","carrot_oven_blue","carrot_L1_blue","carrot_L2_blue","carrot_L3_blue","cake_oven_blue","cake_L1_blue","cake_L2_blue","cake_L3_blue","park_B1","park_B2","park_B3","carrot_haul_B1","carrot_haul_B2","carrot_haul_B3","cake_haul_B1","cake_haul_B2","cake_haul_B3","minor_blue","major_blue","stocked_rp_red","baked_rp_red","dinner_rp_red","stocked_rp_blue","baked_rp_blue","dinner_rp_blue","red_score","blue_score"
"11",11,686,4821,836,2910,339,1629,TRUE,TRUE,TRUE,14,2,2,1,3,0,2,3,FALSE,FALSE,TRUE,0,0,3,0,0,0,0,0,FALSE,FALSE,TRUE,11,3,3,2,1,1,1,3,TRUE,FALSE,TRUE,3,0,1,0,0,0,4,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,136,119
"12",12,4472,4099,9072,614,422,449,FALSE,TRUE,FALSE,11,0,2,2,3,0,1,3,FALSE,TRUE,FALSE,0,3,0,0,0,0,0,0,TRUE,FALSE,TRUE,13,3,2,2,3,2,2,2,TRUE,TRUE,TRUE,2,3,3,0,0,0,4,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,115,137
"13",13,5549,1727,2106,2890,8592,1731,FALSE,TRUE,TRUE,13,3,3,2,3,2,2,3,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,1,3,2,2,3,2,2,1,FALSE,TRUE,FALSE,0,2,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,139,89
"14",14,5338,2910,686,1629,339,1086,TRUE,TRUE,FALSE,14,3,3,1,3,2,2,3,TRUE,TRUE,FALSE,3,3,0,0,0,0,2,0,FALSE,TRUE,TRUE,13,3,3,2,3,0,0,3,FALSE,TRUE,FALSE,0,2,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,146,115
"15",15,4472,614,4821,449,4099,422,TRUE,TRUE,FALSE,15,2,2,1,2,2,2,2,TRUE,TRUE,TRUE,1,3,2,0,0,1,0,0,TRUE,FALSE,TRUE,15,3,3,1,2,2,2,1,TRUE,TRUE,FALSE,3,3,0,0,0,0,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,132,122
"16",16,836,1731,1727,9072,5549,8592,TRUE,TRUE,TRUE,11,3,3,1,3,2,2,3,TRUE,FALSE,FALSE,3,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,10,0,2,1,2,1,1,3,TRUE,FALSE,TRUE,2,0,2,0,0,0,4,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,153,101
"17",17,2890,5338,2910,2106,1086,686,TRUE,TRUE,TRUE,11,2,3,2,2,2,2,2,FALSE,FALSE,TRUE,0,0,3,0,0,0,0,0,TRUE,TRUE,TRUE,14,3,2,2,1,2,1,3,FALSE,TRUE,FALSE,0,2,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,125,129
"18",18,422,1629,4472,339,614,449,TRUE,FALSE,FALSE,8,3,2,2,3,2,1,3,TRUE,FALSE,FALSE,3,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,11,2,3,1,3,2,2,3,FALSE,FALSE,TRUE,0,0,3,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,118,132
"19",19,5549,4821,1727,8592,1731,4099,FALSE,TRUE,TRUE,8,3,2,2,3,0,2,0,FALSE,TRUE,FALSE,0,2,0,0,0,0,0,0,FALSE,TRUE,FALSE,12,2,2,0,3,2,1,3,TRUE,FALSE,TRUE,2,0,3,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,77,117
"20",20,2890,836,1086,5338,9072,2106,FALSE,TRUE,TRUE,9,3,0,1,1,1,0,3,FALSE,TRUE,TRUE,0,3,3,0,0,0,2,0,TRUE,TRUE,TRUE,15,3,2,2,3,2,1,2,TRUE,FALSE,TRUE,3,0,3,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,92,137
"21",21,2910,1629,614,422,339,4472,TRUE,FALSE,FALSE,15,3,1,2,3,2,1,3,TRUE,FALSE,TRUE,3,0,2,0,0,0,0,0,TRUE,FALSE,FALSE,14,3,3,2,0,1,2,1,FALSE,TRUE,FALSE,0,2,0,0,0,0,0,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,140,105
"22",22,1731,449,5549,686,1727,8592,FALSE,TRUE,TRUE,10,3,3,0,2,2,2,2,TRUE,TRUE,FALSE,2,3,0,0,0,0,0,0,FALSE,TRUE,FALSE,4,3,1,1,3,2,2,2,TRUE,TRUE,TRUE,1,2,2,0,0,0,0,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,118,105
"23",23,836,2890,9072,5338,4821,4099,TRUE,FALSE,FALSE,0,1,1,1,3,1,0,3,TRUE,FALSE,FALSE,3,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,15,2,3,2,3,2,1,2,TRUE,FALSE,FALSE,3,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,77,121
"24",24,1086,422,614,2106,2910,4472,FALSE,TRUE,TRUE,5,3,2,1,3,1,2,3,FALSE,TRUE,TRUE,0,3,3,0,0,0,0,0,FALSE,TRUE,FALSE,13,2,3,1,2,1,1,3,TRUE,TRUE,TRUE,3,3,2,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,116,123
"25",25,5549,1727,339,449,686,1731,FALSE,FALSE,FALSE,14,2,2,1,3,1,2,2,TRUE,TRUE,TRUE,1,2,1,0,0,0,0,0,TRUE,TRUE,TRUE,9,3,3,2,2,1,1,3,TRUE,FALSE,FALSE,3,0,0,0,0,0,4,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,131,118
"26",26,8592,1629,5338,836,2890,4099,TRUE,TRUE,TRUE,15,3,3,1,3,1,2,2,TRUE,TRUE,TRUE,2,2,3,0,0,0,0,0,TRUE,FALSE,FALSE,7,2,3,2,3,1,2,3,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,149,114
"27",27,4821,2106,422,9072,1086,2910,TRUE,TRUE,TRUE,15,3,3,1,1,2,2,3,TRUE,TRUE,TRUE,2,3,2,1,0,0,0,0,FALSE,TRUE,TRUE,15,2,3,1,3,1,2,3,FALSE,TRUE,FALSE,0,2,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,152,131
"28",28,686,339,5549,1727,4472,449,TRUE,FALSE,TRUE,8,3,3,1,1,2,2,2,TRUE,FALSE,FALSE,2,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,7,3,2,2,3,1,1,3,FALSE,TRUE,TRUE,0,2,3,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,112,116
"29",29,4099,8592,2890,5338,614,836,FALSE,TRUE,TRUE,12,3,1,1,2,1,2,3,TRUE,FALSE,FALSE,2,0,0,0,0,0,3,0,TRUE,TRUE,TRUE,13,2,3,2,3,2,2,3,FALSE,TRUE,TRUE,0,3,3,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,118,160
"30",30,1731,2106,1629,9072,1086,4821,FALSE,TRUE,FALSE,4,2,2,2,2,1,0,2,FALSE,TRUE,TRUE,0,3,2,0,0,0,0,0,TRUE,TRUE,TRUE,11,3,3,2,3,2,1,2,FALSE,TRUE,TRUE,0,2,3,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,79,124
"31",31,1727,449,2910,339,686,422,FALSE,TRUE,TRUE,12,3,3,2,3,2,2,3,FALSE,TRUE,TRUE,0,3,3,0,0,0,0,0,TRUE,TRUE,TRUE,6,2,0,2,0,1,2,2,FALSE,FALSE,TRUE,0,0,3,0,0,0,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,147,91
"32",32,4099,8592,836,5549,2890,5338,TRUE,FALSE,TRUE,12,2,0,2,3,2,2,2,TRUE,FALSE,FALSE,3,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,10,3,3,2,3,2,1,1,FALSE,FALSE,TRUE,0,0,3,0,0,0,0,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,115,102
"33",33,1731,4472,1086,9072,4821,1629,FALSE,TRUE,FALSE,13,1,3,2,3,0,2,3,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,10,2,2,2,1,1,2,2,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,115,102
"34",34,614,686,1727,2106,2910,339,FALSE,TRUE,TRUE,13,3,3,2,1,2,2,3,FALSE,TRUE,TRUE,0,1,2,0,0,0,0,1,TRUE,TRUE,TRUE,13,3,2,0,2,2,1,2,TRUE,FALSE,TRUE,3,0,2,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,142,120
